Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Transaction Time,Reason
ord1,aa13,Rose,1,New,100,55,20230903-135056.729,,
ord2,aa14,Rose,1,New,100,65,20230903-135056.730,,
ord3,aa15,Rose,2,PFill,100,65,20230903-135056.730,,
ord2,aa14,Rose,1,Fill,100,65,20230903-135056.730,,
ord3,aa15,Rose,2,PFill,100,55,20230903-135056.731,,
ord1,aa13,Rose,1,Fill,100,55,20230903-135056.731,,
ord4,aa16,Rose,1,Fill,100,1,20230903-135056.731,,
ord3,aa15,Rose,2,PFill,100,1,20230903-135056.731,,
ord5,aa17,Rose,1,Fill,100,1,20230903-135056.731,,
ord3,aa15,Rose,2,Fill,100,1,20230903-135056.731,,
ord6,aa18,Rose,1,New,100,45,20230903-135056.731,,
ord7,aa19,Rose,2,New,200,65,20230903-135056.731,,
ord8,aa20,Rose,2,PFill,100,45,20230903-135056.731,,
ord6,aa18,Rose,1,Fill,100,45,20230903-135056.731,,
ord9,aa21,Rose,1,Fill,100,45,20230903-135056.731,,
ord8,aa20,Rose,2,PFill,100,45,20230903-135056.731,,
ord10,aa22,Rose,1,PFill,200,45,20230903-135056.731,,
ord8,aa20,Rose,2,Fill,200,45,20230903-135056.731,,
ord11,aa23,Rose,1,New,100,22,20230903-135056.731,,
ord12,aa24,Rose,1,New,300,34,20230903-135056.731,,
ord13,aa25,Rose,1,New,300,45,20230903-135056.731,,
ord14,aa26,Rose,1,New,300,53,20230903-135056.731,,
ord15,aa27,Rose,1,New,300,32,20230903-135056.731,,
ord16,aa28,Rose,1,New,50,1,20230903-135056.731,,
ord17,aa29,Rose,1,New,50,24,20230903-135056.732,,
ord18,aa30,Rose,2,Fill,50,53,20230903-135056.732,,
ord14,aa26,Rose,1,PFill,50,53,20230903-135056.732,,
ord19,aa31,Rose,1,New,50,35,20230903-135056.732,,
ord20,aa32,Rose,2,Fill,50,53,20230903-135056.732,,
ord14,aa26,Rose,1,PFill,50,53,20230903-135056.732,,
ord21,aa33,Rose,2,Fill,50,53,20230903-135056.732,,
ord14,aa26,Rose,1,PFill,50,53,20230903-135056.732,,
ord22,aa34,Rose,2,Fill,50,53,20230903-135056.732,,
ord14,aa26,Rose,1,PFill,50,53,20230903-135056.732,,
ord23,aa35,Rose,1,Fill,50,65,20230903-135056.732,,
ord7,aa19,Rose,2,PFill,50,65,20230903-135056.732,,
ord24,aa36,Rose,2,New,50,64,20230903-135056.732,,
ord25,aa37,Rose,2,Fill,50,53,20230903-135056.732,,
ord14,aa26,Rose,1,PFill,50,53,20230903-135056.732,,
ord26,aa38,Rose,2,Fill,50,53,20230903-135056.732,,
ord14,aa26,Rose,1,Fill,50,53,20230903-135056.732,,
ord27,aa39,Rose,2,Fill,50,45,20230903-135056.732,,
ord10,aa22,Rose,1,Fill,50,45,20230903-135056.732,,
ord28,aa40,Rose,2,Fill,50,45,20230903-135056.732,,
ord13,aa25,Rose,1,PFill,50,45,20230903-135056.732,,
ord29,aa41,Rose,1,Reject,56,35,20230903-135056.730,Invalid quantity,
ord30,aa42,Rose,1,Reject,78,65,20230903-135056.730,Invalid quantity,
ord31,aa43,Rose,1,Reject,34,45,20230903-135056.730,Invalid quantity,
ord32,aa44,Rose,1,Reject,56,32,20230903-135056.730,Invalid quantity,
