Client Order ID,Instrument,Side,Quantity,Price
aa10,Orchid,1,950,14
aa11,Lotus,2,920,45
aa12,Lotus,2,350,78
aa13,Orchid,1,890,68
aa14,Orchid,2,380,37
aa15,Tulip,2,150,29
aa16,Orchid,1,10,3
aa17,Lavender,2,980,44
aa18,Lavender,2,790,72
aa19,Rose,1,570,3
aa20,Lotus,2,910,90
aa21,Tulip,1,380,1
aa22,Rose,2,370,50
aa23,Lotus,1,680,88
aa24,Tulip,2,550,17
aa25,Rose,1,10,51
aa26,Lavender,2,670,21
aa27,Lotus,2,260,52
aa28,Orchid,1,590,97
aa29,Lavender,2,460,67
aa30,Lotus,1,570,9
aa31,Lotus,2,620,43
aa32,Orchid,1,190,8
aa33,Lotus,1,520,47
aa34,Tulip,1,680,50
aa35,Lotus,1,600,48
aa36,Rose,1,660,86
aa37,Lotus,1,880,73
aa38,Tulip,2,530,18
aa39,Lavender,2,30,34
aa40,Lotus,1,950,72
aa41,Tulip,1,330,40
aa42,Lavender,1,240,61
aa43,Lavender,2,940,83
aa44,Lotus,2,300,70
aa45,Orchid,2,990,46
aa46,Tulip,1,620,78
aa47,Tulip,2,30,86
aa48,Rose,1,90,32
aa49,Lavender,2,350,94
aa50,Lavender,1,410,74
aa51,Rose,1,700,37
aa52,Lavender,2,260,2
aa53,Lotus,1,540,65
aa54,Rose,1,460,1
aa55,Lavender,1,910,66
aa56,Lavender,1,100,36
aa57,Lavender,1,410,87
aa58,Lavender,2,190,70
aa59,Rose,1,640,58
aa60,Lotus,2,720,81
aa61,Orchid,2,160,23
aa62,Rose,1,170,66
aa63,Tulip,1,960,34
aa64,Lavender,2,730,86
aa65,Tulip,2,950,53
aa66,Tulip,2,300,11
aa67,Orchid,2,540,20
aa68,Orchid,2,450,53
aa69,Orchid,2,220,46
aa70,Rose,2,520,18
aa71,Orchid,1,660,52
aa72,Lavender,1,200,8
aa73,Tulip,2,550,53
aa74,Lavender,1,270,73
aa75,Rose,2,630,13
aa76,Rose,1,380,2
aa77,Tulip,1,840,93
aa78,Lotus,1,220,32
aa79,Orchid,2,750,63
aa80,Rose,1,730,50
aa81,Orchid,2,390,76
aa82,Lotus,1,790,39
aa83,Lotus,2,200,33
aa84,Orchid,1,970,7
aa85,Tulip,2,200,51
aa86,Rose,1,250,88
aa87,Tulip,2,580,94
aa88,Lavender,1,10,76
aa89,Lotus,1,420,78
aa90,Tulip,2,880,89
aa91,Orchid,1,410,62
aa92,Tulip,2,410,52
aa93,Orchid,1,210,38
aa94,Lotus,1,540,4
aa95,Lavender,2,750,82
aa96,Rose,1,870,26
aa97,Tulip,1,400,38
aa98,Lavender,2,800,95
aa99,Lavender,2,490,12
aa100,Tulip,1,120,65
aa101,Lavender,2,380,46
aa102,Orchid,1,170,58
aa103,Rose,2,790,58
aa104,Orchid,2,600,68
aa105,Lotus,1,970,91
aa106,Tulip,1,980,72
aa107,Rose,1,530,20
aa108,Lotus,1,70,21
aa109,Rose,2,710,54
aa110,Lavender,1,870,16
aa111,Lavender,1,280,44
aa112,Tulip,1,770,80
aa113,Orchid,2,250,72
aa114,Lavender,2,250,5
aa115,Rose,1,330,13
aa116,Tulip,2,540,1
aa117,Lavender,1,390,86
aa118,Lotus,2,380,4
aa119,Lotus,1,470,24
aa120,Lavender,1,40,24
aa121,Orchid,2,880,69
aa122,Tulip,2,900,58
aa123,Tulip,2,400,10
aa124,Orchid,1,800,60
aa125,Rose,1,80,14
aa126,Tulip,1,870,13
aa127,Orchid,2,950,92
aa128,Tulip,1,610,8
aa129,Lavender,2,990,4
aa130,Lavender,1,650,33
aa131,Lotus,2,810,88
aa132,Tulip,1,130,76
aa133,Lavender,2,790,84
aa134,Lavender,2,910,21
aa135,Lavender,1,740,82
aa136,Rose,2,880,52
aa137,Tulip,1,320,19
aa138,Lotus,1,760,98
aa139,Orchid,2,310,53
aa140,Rose,1,340,31
aa141,Lotus,1,260,42
aa142,Lavender,2,590,100
aa143,Tulip,1,190,26
aa144,Lavender,2,150,20
aa145,Rose,1,210,26
aa146,Lotus,1,30,60
aa147,Lotus,2,170,6
aa148,Orchid,2,30,6
aa149,Lotus,2,220,31
aa150,Orchid,2,800,69
aa151,Rose,1,930,83
aa152,Lotus,1,350,49
aa153,Tulip,2,670,5
aa154,Orchid,1,590,15
aa155,Orchid,2,900,35
aa156,Lotus,1,840,3
aa157,Orchid,2,530,4
aa158,Lavender,1,100,73
aa159,Orchid,2,380,13
aa160,Tulip,1,810,16
aa161,Lavender,1,660,58
aa162,Lavender,2,80,48
aa163,Lotus,1,70,38
aa164,Lotus,1,280,54
aa165,Rose,1,350,44
aa166,Rose,1,290,46
aa167,Orchid,2,770,86
aa168,Rose,2,890,7
aa169,Lotus,2,660,92
aa170,Orchid,1,560,69
aa171,Lavender,1,910,53
aa172,Orchid,1,640,35
aa173,Lotus,2,620,74
aa174,Orchid,2,60,46
aa175,Lavender,1,630,66
aa176,Rose,1,480,6
aa177,Lotus,1,220,4
aa178,Lotus,1,990,95
aa179,Rose,2,540,87
aa180,Orchid,2,400,74
aa181,Tulip,2,820,38
aa182,Lotus,2,580,19
aa183,Tulip,2,990,6
aa184,Lavender,1,820,84
aa185,Tulip,1,640,51
aa186,Orchid,2,110,81
aa187,Lavender,1,580,40
aa188,Lotus,2,440,80
aa189,Orchid,1,770,1
aa190,Orchid,1,550,52
aa191,Lotus,2,230,14
aa192,Tulip,2,710,40
aa193,Lavender,1,650,7
aa194,Lavender,2,400,2
aa195,Lavender,1,870,73
aa196,Tulip,1,810,59
aa197,Orchid,1,600,51
aa198,Tulip,2,190,13
aa199,Tulip,2,650,1
aa200,Lavender,1,50,83
aa201,Lotus,1,390,71
aa202,Orchid,2,460,94
aa203,Lavender,2,370,70
aa204,Orchid,2,230,52
aa205,Tulip,2,750,4
aa206,Orchid,1,480,54
aa207,Lavender,2,900,63
aa208,Tulip,1,820,79
aa209,Lotus,1,240,82
aa210,Orchid,2,690,38
aa211,Rose,2,630,70
aa212,Tulip,2,580,95
aa213,Orchid,1,400,8
aa214,Lotus,1,680,33
aa215,Tulip,2,190,9
aa216,Lotus,1,520,33
aa217,Lotus,2,10,53
aa218,Tulip,1,960,21
aa219,Lotus,1,800,94
aa220,Orchid,2,100,35
aa221,Tulip,1,60,74
aa222,Orchid,1,410,67
aa223,Rose,1,880,60
aa224,Rose,2,70,70
aa225,Tulip,1,260,57
aa226,Orchid,1,710,66
aa227,Lavender,1,590,68
aa228,Lavender,2,520,24
aa229,Lotus,2,410,63
aa230,Orchid,1,160,67
aa231,Rose,1,630,28
aa232,Orchid,2,310,72
aa233,Orchid,1,800,71
aa234,Rose,1,980,9
aa235,Rose,1,360,29
aa236,Lotus,2,970,62
aa237,Tulip,1,370,13
aa238,Lavender,2,860,59
aa239,Lotus,2,330,82
aa240,Lotus,2,30,11
aa241,Lotus,2,380,63
aa242,Tulip,2,950,33
aa243,Lotus,1,250,87
aa244,Rose,1,960,7
aa245,Tulip,1,870,50
aa246,Lotus,2,180,47
aa247,Lotus,1,350,12
aa248,Lavender,2,400,83
aa249,Rose,2,150,77
aa250,Rose,1,380,85
aa251,Orchid,2,380,75
aa252,Lotus,1,300,75
aa253,Lotus,1,800,65
aa254,Orchid,2,610,15
aa255,Lavender,1,380,36
aa256,Lavender,1,10,77
aa257,Tulip,2,740,48
aa258,Orchid,2,330,20
aa259,Tulip,2,430,96
aa260,Rose,1,700,62
aa261,Tulip,2,50,78
aa262,Lotus,1,200,65
aa263,Lotus,2,530,79
aa264,Orchid,1,460,84
aa265,Orchid,2,940,87
aa266,Tulip,2,580,82
aa267,Lavender,2,160,96
aa268,Orchid,2,880,29
aa269,Lotus,2,680,20
aa270,Orchid,1,430,91
aa271,Orchid,1,680,88
aa272,Lavender,1,360,27
aa273,Orchid,2,80,67
aa274,Rose,1,40,43
aa275,Rose,1,840,94
aa276,Rose,1,410,19
aa277,Tulip,2,150,63
aa278,Tulip,2,180,77
aa279,Lavender,1,410,47
aa280,Lotus,2,70,45
aa281,Orchid,1,500,40
aa282,Lavender,1,780,92
aa283,Tulip,1,90,9
aa284,Tulip,2,40,22
aa285,Tulip,1,440,79
aa286,Orchid,1,90,73
aa287,Orchid,1,600,10
aa288,Rose,2,400,55
aa289,Rose,1,360,96
aa290,Lavender,1,430,91
aa291,Lotus,1,250,1
aa292,Lavender,2,170,30
aa293,Tulip,1,780,49
aa294,Rose,1,240,65
aa295,Orchid,1,190,95
aa296,Lotus,1,290,46
aa297,Lavender,2,920,54
aa298,Lavender,1,690,91
aa299,Lotus,2,860,17
aa300,Rose,1,940,83
aa301,Rose,2,300,28
aa302,Tulip,2,750,90
aa303,Tulip,2,570,81
aa304,Tulip,1,350,1
aa305,Lavender,2,580,26
aa306,Rose,2,920,97
aa307,Lotus,2,630,22
aa308,Orchid,1,300,68
aa309,Lotus,1,720,18
aa310,Lotus,2,40,92
aa311,Rose,2,680,94
aa312,Rose,2,370,32
aa313,Orchid,2,70,25
aa314,Orchid,1,790,91
aa315,Lotus,2,760,86
aa316,Tulip,1,920,85
